City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Xiamen,CN,78.85,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
19,Banda Aceh,ID,81.63,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
22,Tecoanapa,MX,83.62,clear sky,16.5167,-98.75,Hotel Manglares
33,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Butaritari,KI,79.9,light rain,3.0707,172.7902,Isles Sunset Lodge
51,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
53,Soyo,AO,82.47,overcast clouds,-6.1349,12.3689,Hotel Mpampa
60,Mitsamiouli,KM,81.82,light rain,-11.3847,43.2844,Foyer ADM
61,Atuona,PF,79.05,scattered clouds,-9.8,-139.0333,Villa Enata
64,Pangai,TO,78.76,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
72,Port Keats,AU,82.04,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
74,Jamestown,US,76.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
75,Ixtapa,MX,81.66,clear sky,20.7,-105.2,hotel la terminal
81,San Patricio,US,81.18,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Karaton,ID,75.99,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
88,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
96,Touros,BR,86.86,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
97,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
99,Mogadishu,SO,87.67,few clouds,2.0371,45.3438,Hotel Juba
100,Mfou,CM,85.15,overcast clouds,3.7159,11.6427,Maison Du Juge Noah
102,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Baghdad,IQ,84.11,light rain,33.3406,44.4009,Baghdad Hotel
107,Acapulco,MX,82.58,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
109,Dicabisagan,PH,79.29,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
111,Sambava,MG,77.38,light rain,-14.2667,50.1667,Melrose
112,Kieta,PG,78.94,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
120,Harper,LR,82.49,light rain,4.375,-7.7169,Screensaver
122,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
123,Capitao Poco,BR,85.86,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
127,Sirjan,IR,78.82,overcast clouds,29.452,55.6814,MAPNA Building
128,Kavieng,PG,81.88,light rain,-2.5744,150.7967,Nusa Island Retreat
135,Chichihualco,MX,78.19,clear sky,17.6833,-99.65,Hotel Chichihualco
136,Isangel,VU,75.88,overcast clouds,-19.55,169.2667,Tanna Lodge
142,Lorengau,PG,80.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
143,Faanui,PF,79.88,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
146,Puerto Escondido,MX,84.52,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
150,Porto Novo,BJ,87.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
158,Karratha,AU,80.01,light rain,-20.7377,116.8463,ibis Styles Karratha
161,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
168,Sao Filipe,CV,76.51,clear sky,14.8961,-24.4956,Hotel Xaguate
171,Basco,PH,81.43,clear sky,20.4487,121.9702,Nathaniel's Lodge
183,Umm Lajj,SA,80.46,clear sky,25.0213,37.2685,Moon light Furnished Units
186,Martapura,ID,78.89,broken clouds,-3.4167,114.85,Montana Hotel Syariah
