City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Evensk,RU,61.95,159.2333,28.62,78,100,16.71,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,40.66,81,100,13.8,light rain
2,Zeya,RU,53.75,127.2667,32.14,44,97,4.74,overcast clouds
3,Sitka,US,57.0531,-135.33,42.84,89,90,3.58,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,64.18,72,52,5.01,broken clouds
5,Tiksi,RU,71.6872,128.8694,-4.58,100,97,3.11,overcast clouds
6,Xiamen,CN,24.4798,118.0819,78.85,83,0,8.95,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,63.7,50,20,10.38,few clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,30.85,91,100,4.18,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,50.49,92,9,4.79,clear sky
10,New Norfolk,AU,-42.7826,147.0587,54.91,70,78,2.37,broken clouds
11,Rio Gallegos,AR,-51.6226,-69.2181,39.25,93,100,13.8,overcast clouds
12,Busselton,AU,-33.65,115.3333,62.33,90,100,18.23,light rain
13,Borna,DE,51.1167,12.5,56.28,78,99,3.98,overcast clouds
14,Hobart,AU,-42.8794,147.3294,55.26,88,100,4.61,overcast clouds
15,Norman Wells,CA,65.282,-126.8329,30.24,86,75,0.0,broken clouds
16,Cape Town,ZA,-33.9258,18.4232,66.11,57,0,20.71,clear sky
17,Motygino,RU,58.1831,94.7592,25.29,100,66,3.44,broken clouds
18,Yellowknife,CA,62.456,-114.3525,27.12,63,20,13.8,few clouds
19,Banda Aceh,ID,5.5577,95.3222,81.63,81,100,9.51,heavy intensity rain
20,Kahului,US,20.8947,-156.47,73.85,91,9,5.01,clear sky
21,Albany,US,42.6001,-73.9662,58.73,37,100,4.0,overcast clouds
22,Tecoanapa,MX,16.5167,-98.75,83.62,58,1,2.59,clear sky
23,Namibe,AO,-15.1961,12.1522,74.43,72,3,8.46,clear sky
24,Vaini,TO,-21.2,-175.2,71.76,100,100,6.91,light rain
25,Havoysund,NO,70.9963,24.6622,34.03,79,51,18.39,light snow
26,Mpika,ZM,-11.8343,31.4529,68.41,82,63,7.43,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,74.35,79,100,11.88,overcast clouds
28,Tasiilaq,GL,65.6145,-37.6368,31.19,94,100,9.53,snow
29,Dikson,RU,73.5069,80.5464,13.06,95,100,7.02,overcast clouds
30,Lerwick,GB,60.1545,-1.1494,46.4,73,100,14.29,overcast clouds
31,Willowmore,ZA,-33.2926,23.4895,56.1,56,95,5.75,overcast clouds
32,Hofn,IS,64.2539,-15.2082,46.42,76,75,6.91,broken clouds
33,Mahebourg,MU,-20.4081,57.7,77.29,69,75,12.66,broken clouds
34,Kapaa,US,22.0752,-159.319,73.11,85,3,1.99,clear sky
35,Tuatapere,NZ,-46.1333,167.6833,44.56,83,17,7.27,few clouds
36,Kaitangata,NZ,-46.2817,169.8464,45.99,74,2,11.74,clear sky
37,Belaya Gora,RU,68.5333,146.4167,0.1,100,67,4.52,broken clouds
38,Hualmay,PE,-11.0964,-77.6139,70.3,76,100,6.91,overcast clouds
39,Kijabe,KE,-0.933,36.5758,62.13,86,100,6.17,light rain
40,Pendleton,US,45.6721,-118.7886,54.39,75,100,2.91,overcast clouds
41,Upernavik,GL,72.7868,-56.1549,18.82,80,22,2.37,few clouds
42,Esperance,AU,-33.8667,121.9,66.04,49,100,21.39,overcast clouds
43,Hilo,US,19.7297,-155.09,72.28,99,70,1.01,broken clouds
44,Krasnovka,RU,48.8177,40.0923,68.72,49,78,3.09,broken clouds
45,Lagoa,PT,39.05,-27.9833,57.96,72,1,12.91,clear sky
46,Kodiak,US,57.79,-152.4072,36.66,85,93,5.64,overcast clouds
47,Butaritari,KI,3.0707,172.7902,79.9,83,26,14.74,light rain
48,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,14.97,few clouds
49,Shasta Lake,US,40.6804,-122.3708,58.75,49,100,2.44,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,66.79,62,0,8.46,clear sky
51,Tiarei,PF,-17.5333,-149.3333,75.22,75,9,3.42,light rain
52,Fallon,US,39.4735,-118.7774,44.47,31,75,0.0,broken clouds
53,Soyo,AO,-6.1349,12.3689,82.47,75,97,10.0,overcast clouds
54,Punta Arenas,CL,-53.15,-70.9167,42.82,93,75,16.11,broken clouds
55,Dalvik,IS,65.9702,-18.5286,44.53,86,98,0.85,overcast clouds
56,Astana,KZ,51.1801,71.446,55.35,16,0,2.24,clear sky
57,Khorixas,NA,-20.3667,14.9667,87.8,18,4,4.52,clear sky
58,Carnarvon,AU,-24.8667,113.6333,73.47,64,0,6.91,clear sky
59,Qujing,CN,25.4833,103.7833,66.33,35,0,10.85,clear sky
60,Mitsamiouli,KM,-11.3847,43.2844,81.82,76,93,7.27,light rain
61,Atuona,PF,-9.8,-139.0333,79.05,68,38,16.78,scattered clouds
62,Mednogorsk,RU,51.4128,57.595,54.01,53,89,6.29,overcast clouds
63,Saint George,US,37.1041,-113.5841,53.26,29,0,3.44,clear sky
64,Pangai,TO,-19.8,-174.35,78.76,73,100,5.26,moderate rain
65,Katsuura,JP,35.1333,140.3,66.81,92,100,3.89,overcast clouds
66,Adrar,MR,20.5022,-10.0711,90.45,17,0,15.75,clear sky
67,Bethel,US,41.3712,-73.414,59.88,45,100,1.01,overcast clouds
68,Thompson,CA,55.7435,-97.8558,5.16,56,20,5.75,few clouds
69,Ketchikan,US,55.3422,-131.6461,41.47,93,100,0.0,overcast clouds
70,Baker City,US,44.7749,-117.8344,50.65,47,100,4.34,overcast clouds
71,Constitucion,CL,-35.3333,-72.4167,54.91,87,100,7.29,overcast clouds
72,Port Keats,AU,-14.25,129.55,82.04,51,76,7.54,broken clouds
73,Port Elizabeth,ZA,-33.918,25.5701,66.49,67,0,21.85,clear sky
74,Jamestown,US,42.097,-79.2353,76.05,42,0,11.5,clear sky
75,Ixtapa,MX,20.7,-105.2,81.66,28,0,2.98,clear sky
76,Lasa,IT,46.6166,10.7002,59.68,78,85,1.99,overcast clouds
77,Varhaug,NO,58.6147,5.6457,52.79,79,64,14.52,broken clouds
78,Mar Del Plata,AR,-38.0023,-57.5575,64.42,68,0,11.99,clear sky
79,Castro,BR,-24.7911,-50.0119,73.15,57,0,5.61,clear sky
80,Cidreira,BR,-30.1811,-50.2056,74.98,63,91,15.75,overcast clouds
81,San Patricio,US,28.017,-97.5169,81.18,66,16,15.43,few clouds
82,Port Lincoln,AU,-34.7333,135.8667,66.24,74,91,12.44,overcast clouds
83,Brownwood,US,31.7093,-98.9912,59.0,69,75,9.22,broken clouds
84,Ulladulla,AU,-35.35,150.4667,59.9,88,94,4.74,overcast clouds
85,Weiden,DE,49.6775,12.1567,53.94,70,99,3.24,overcast clouds
86,Karaton,ID,-6.3424,106.1045,75.99,92,100,5.32,moderate rain
87,Kutum,SD,14.2,24.6667,93.47,5,83,8.81,broken clouds
88,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,35,14.43,light rain
89,Moose Jaw,CA,50.4001,-105.5344,32.25,74,75,5.75,broken clouds
90,Clyde River,CA,70.4692,-68.5914,8.83,85,100,26.46,overcast clouds
91,Cherskiy,RU,68.75,161.3,14.81,85,100,4.32,overcast clouds
92,Bluff,NZ,-46.6,168.3333,50.81,66,10,21.41,clear sky
93,Lipari,IT,38.4674,14.954,67.32,75,84,2.93,broken clouds
94,Nikolskoye,RU,59.7035,30.7861,42.71,95,100,4.94,overcast clouds
95,Klaksvik,FO,62.2266,-6.589,47.32,83,88,19.33,overcast clouds
96,Touros,BR,-5.1989,-35.4608,86.86,61,36,13.51,scattered clouds
97,Oistins,BB,13.0667,-59.5333,77.09,94,75,18.41,broken clouds
98,Mount Gambier,AU,-37.8333,140.7667,55.31,88,100,5.75,overcast clouds
99,Mogadishu,SO,2.0371,45.3438,87.67,70,20,12.66,few clouds
100,Mfou,CM,3.7159,11.6427,85.15,54,99,1.79,overcast clouds
101,Baoqing,CN,46.3317,132.2111,50.34,54,85,13.33,light rain
102,Cabo San Lucas,MX,22.8909,-109.9124,75.61,77,1,1.16,clear sky
103,Baghdad,IQ,33.3406,44.4009,84.11,34,75,13.8,light rain
104,Richards Bay,ZA,-28.783,32.0377,67.96,90,100,15.68,moderate rain
105,Laguna,US,38.421,-121.4238,63.09,73,0,3.44,clear sky
106,Longyearbyen,SJ,78.2186,15.6401,8.44,40,40,10.36,scattered clouds
107,Acapulco,MX,16.8634,-99.8901,82.58,59,4,1.41,clear sky
